fecha,PIB_TC,President,Party,Term,Label
1992-03-31,8.218815044774107,Rafael Ángel Calderón Fournier,PUSC,1990–1994,Calderón
1992-06-30,9.265592431155811,Rafael Ángel Calderón Fournier,PUSC,1990–1994,Calderón
1992-09-30,9.733944502750425,Rafael Ángel Calderón Fournier,PUSC,1990–1994,Calderón
1992-12-31,8.97576959080979,Rafael Ángel Calderón Fournier,PUSC,1990–1994,Calderón
1993-03-31,8.043024865187732,Rafael Ángel Calderón Fournier,PUSC,1990–1994,Calderón
1993-06-30,7.160128445662717,Rafael Ángel Calderón Fournier,PUSC,1990–1994,Calderón
1993-09-30,6.4098718133615895,Rafael Ángel Calderón Fournier,PUSC,1990–1994,Calderón
1993-12-31,5.977375219159864,Rafael Ángel Calderón Fournier,PUSC,1990–1994,Calderón
1994-03-31,5.541986064123816,Rafael Ángel Calderón Fournier,PUSC,1990–1994,Calderón
1994-06-30,5.2570803043825,José María Figueres Olsen,PLN,1994–1998,Olsen
1994-09-30,4.870839829619733,José María Figueres Olsen,PLN,1994–1998,Olsen
1994-12-31,4.655750508029111,José María Figueres Olsen,PLN,1994–1998,Olsen
1995-03-31,4.624862515067929,José María Figueres Olsen,PLN,1994–1998,Olsen
1995-06-30,3.9004849456895307,José María Figueres Olsen,PLN,1994–1998,Olsen
1995-09-30,2.991218463511114,José María Figueres Olsen,PLN,1994–1998,Olsen
1995-12-31,2.1792437523576735,José María Figueres Olsen,PLN,1994–1998,Olsen
1996-03-31,1.3053455325960472,José María Figueres Olsen,PLN,1994–1998,Olsen
1996-06-30,1.1972941881770671,José María Figueres Olsen,PLN,1994–1998,Olsen
1996-09-30,1.963283299306151,José María Figueres Olsen,PLN,1994–1998,Olsen
1996-12-31,2.903650270561542,José María Figueres Olsen,PLN,1994–1998,Olsen
1997-03-31,3.959590085957543,José María Figueres Olsen,PLN,1994–1998,Olsen
1997-06-30,5.132477705810357,José María Figueres Olsen,PLN,1994–1998,Olsen
1997-09-30,6.13154627420458,José María Figueres Olsen,PLN,1994–1998,Olsen
1997-12-31,7.136971872519893,José María Figueres Olsen,PLN,1994–1998,Olsen
1998-03-31,7.680020107399699,José María Figueres Olsen,PLN,1994–1998,Olsen
1998-06-30,7.172745644631706,Miguel Ángel Rodríguez Echeverría,PUSC,1998–2002,Rodríguez
1998-09-30,6.290293557881421,Miguel Ángel Rodríguez Echeverría,PUSC,1998–2002,Rodríguez
1998-12-31,5.340960054800137,Miguel Ángel Rodríguez Echeverría,PUSC,1998–2002,Rodríguez
1999-03-31,4.59452882597402,Miguel Ángel Rodríguez Echeverría,PUSC,1998–2002,Rodríguez
1999-06-30,4.561366489463836,Miguel Ángel Rodríguez Echeverría,PUSC,1998–2002,Rodríguez
1999-09-30,4.700879073507913,Miguel Ángel Rodríguez Echeverría,PUSC,1998–2002,Rodríguez
1999-12-31,4.664232741864516,Miguel Ángel Rodríguez Echeverría,PUSC,1998–2002,Rodríguez
2000-03-31,4.507720355092681,Miguel Ángel Rodríguez Echeverría,PUSC,1998–2002,Rodríguez
2000-06-30,4.055843303047046,Miguel Ángel Rodríguez Echeverría,PUSC,1998–2002,Rodríguez
2000-09-30,3.556421098685103,Miguel Ángel Rodríguez Echeverría,PUSC,1998–2002,Rodríguez
2000-12-31,3.2955143660853725,Miguel Ángel Rodríguez Echeverría,PUSC,1998–2002,Rodríguez
2001-03-31,3.2896080177388987,Miguel Ángel Rodríguez Echeverría,PUSC,1998–2002,Rodríguez
2001-06-30,3.407035481539622,Miguel Ángel Rodríguez Echeverría,PUSC,1998–2002,Rodríguez
2001-09-30,3.4537152241778335,Miguel Ángel Rodríguez Echeverría,PUSC,1998–2002,Rodríguez
2001-12-31,3.3253440535688794,Miguel Ángel Rodríguez Echeverría,PUSC,1998–2002,Rodríguez
2002-03-31,3.2876095508140413,Miguel Ángel Rodríguez Echeverría,PUSC,1998–2002,Rodríguez
2002-06-30,3.5147126825993302,Abel Pacheco,PUSC,2002–2006,Pacheco
2002-09-30,3.6781934109808345,Abel Pacheco,PUSC,2002–2006,Pacheco
2002-12-31,3.790406911089539,Abel Pacheco,PUSC,2002–2006,Pacheco
2003-03-31,3.952697089226498,Abel Pacheco,PUSC,2002–2006,Pacheco
2003-06-30,4.07556697931073,Abel Pacheco,PUSC,2002–2006,Pacheco
2003-09-30,4.303782620725771,Abel Pacheco,PUSC,2002–2006,Pacheco
2003-12-31,4.570155879013327,Abel Pacheco,PUSC,2002–2006,Pacheco
2004-03-31,4.648562977069903,Abel Pacheco,PUSC,2002–2006,Pacheco
2004-06-30,4.506035469050018,Abel Pacheco,PUSC,2002–2006,Pacheco
2004-09-30,4.246576443721017,Abel Pacheco,PUSC,2002–2006,Pacheco
2004-12-31,4.008631007583752,Abel Pacheco,PUSC,2002–2006,Pacheco
2005-03-31,3.812144599544398,Abel Pacheco,PUSC,2002–2006,Pacheco
2005-06-30,3.8718107558899373,Abel Pacheco,PUSC,2002–2006,Pacheco
2005-09-30,4.3183844818105666,Abel Pacheco,PUSC,2002–2006,Pacheco
2005-12-31,4.944859769310872,Abel Pacheco,PUSC,2002–2006,Pacheco
2006-03-31,5.778813656737136,Abel Pacheco,PUSC,2002–2006,Pacheco
2006-06-30,6.785752081766572,Óscar Arias Sánchez,PLN,2006–2010,Arias
2006-09-30,7.7467602270908875,Óscar Arias Sánchez,PLN,2006–2010,Arias
2006-12-31,8.496056908511584,Óscar Arias Sánchez,PLN,2006–2010,Arias
2007-03-31,8.810345681296127,Óscar Arias Sánchez,PLN,2006–2010,Arias
2007-06-30,8.624419978711305,Óscar Arias Sánchez,PLN,2006–2010,Arias
2007-09-30,8.042719460129376,Óscar Arias Sánchez,PLN,2006–2010,Arias
2007-12-31,7.404701536096248,Óscar Arias Sánchez,PLN,2006–2010,Arias
2008-03-31,6.65513656781469,Óscar Arias Sánchez,PLN,2006–2010,Arias
2008-06-30,5.4497586302194145,Óscar Arias Sánchez,PLN,2006–2010,Arias
2008-09-30,3.995456056891067,Óscar Arias Sánchez,PLN,2006–2010,Arias
2008-12-31,2.7512701186906297,Óscar Arias Sánchez,PLN,2006–2010,Arias
2009-03-31,-2.0387968118443123,Óscar Arias Sánchez,PLN,2006–2010,Arias
2009-06-30,-1.4634253352384219,Óscar Arias Sánchez,PLN,2006–2010,Arias
2009-09-30,-0.42612203083299827,Óscar Arias Sánchez,PLN,2006–2010,Arias
2009-12-31,0.5503966694454077,Óscar Arias Sánchez,PLN,2006–2010,Arias
2010-03-31,5.484540542324345,Óscar Arias Sánchez,PLN,2006–2010,Arias
2010-06-30,5.448091280926182,Laura Chinchilla Miranda,PLN,2010–2014,Chinchilla
2010-09-30,5.270583845003718,Laura Chinchilla Miranda,PLN,2010–2014,Chinchilla
2010-12-31,4.90085750483904,Laura Chinchilla Miranda,PLN,2010–2014,Chinchilla
2011-03-31,4.6461599806040255,Laura Chinchilla Miranda,PLN,2010–2014,Chinchilla
2011-06-30,4.588255038486189,Laura Chinchilla Miranda,PLN,2010–2014,Chinchilla
2011-09-30,4.548877752637126,Laura Chinchilla Miranda,PLN,2010–2014,Chinchilla
2011-12-31,4.772718672710563,Laura Chinchilla Miranda,PLN,2010–2014,Chinchilla
2012-03-31,4.983483767431918,Laura Chinchilla Miranda,PLN,2010–2014,Chinchilla
2012-06-30,4.741320552573147,Laura Chinchilla Miranda,PLN,2010–2014,Chinchilla
2012-09-30,4.368263268220085,Laura Chinchilla Miranda,PLN,2010–2014,Chinchilla
2012-12-31,3.8509576681080793,Laura Chinchilla Miranda,PLN,2010–2014,Chinchilla
2013-03-31,3.0949214084395438,Laura Chinchilla Miranda,PLN,2010–2014,Chinchilla
2013-06-30,2.6650452775804467,Laura Chinchilla Miranda,PLN,2010–2014,Chinchilla
2013-09-30,2.7179404590018885,Laura Chinchilla Miranda,PLN,2010–2014,Chinchilla
2013-12-31,2.933693264063275,Laura Chinchilla Miranda,PLN,2010–2014,Chinchilla
2014-03-31,3.2692706370914815,Laura Chinchilla Miranda,PLN,2010–2014,Chinchilla
2014-06-30,3.4768483841632447,Luis Guillermo Solís Rivera,PAC,2014–2018,Solís
2014-09-30,3.398504255626844,Luis Guillermo Solís Rivera,PAC,2014–2018,Solís
2014-12-31,3.2822997238542317,Luis Guillermo Solís Rivera,PAC,2014–2018,Solís
2015-03-31,3.3933454257923934,Luis Guillermo Solís Rivera,PAC,2014–2018,Solís
2015-06-30,3.8288783793185566,Luis Guillermo Solís Rivera,PAC,2014–2018,Solís
2015-09-30,4.091433471727557,Luis Guillermo Solís Rivera,PAC,2014–2018,Solís
2015-12-31,4.122494491199813,Luis Guillermo Solís Rivera,PAC,2014–2018,Solís
