fecha,PIB_RegDef_TC,PIB_RegEsp_TC,President,Party,Term,Label
1992-03-31,7.811053169504278,25.625485416465963,Rafael Ángel Calderón Fournier,PUSC,1990–1994,Calderón
1992-06-30,8.958830602875079,24.296878184841585,Rafael Ángel Calderón Fournier,PUSC,1990–1994,Calderón
1992-09-30,9.49842315380074,25.829291012552467,Rafael Ángel Calderón Fournier,PUSC,1990–1994,Calderón
1992-12-31,8.738617623572553,27.43986254845221,Rafael Ángel Calderón Fournier,PUSC,1990–1994,Calderón
1993-03-31,7.806535661621461,26.7614942361337,Rafael Ángel Calderón Fournier,PUSC,1990–1994,Calderón
1993-06-30,6.943422876102856,21.535644799397467,Rafael Ángel Calderón Fournier,PUSC,1990–1994,Calderón
1993-09-30,6.2544221759535334,14.818116007201287,Rafael Ángel Calderón Fournier,PUSC,1990–1994,Calderón
1993-12-31,5.914126758656479,8.943653513080264,Rafael Ángel Calderón Fournier,PUSC,1990–1994,Calderón
1994-03-31,5.532570571097972,5.039224056574554,Rafael Ángel Calderón Fournier,PUSC,1990–1994,Calderón
1994-06-30,5.255202092330324,5.086763375368619,José María Figueres Olsen,PLN,1994–1998,Olsen
1994-09-30,4.829289711666518,6.534867888728968,José María Figueres Olsen,PLN,1994–1998,Olsen
1994-12-31,4.560934197634903,9.53421456205108,José María Figueres Olsen,PLN,1994–1998,Olsen
1995-03-31,4.478839028243375,13.501685545420571,José María Figueres Olsen,PLN,1994–1998,Olsen
1995-06-30,3.6528802039738295,17.730375199305136,José María Figueres Olsen,PLN,1994–1998,Olsen
1995-09-30,2.6702422901636824,20.739287332920362,José María Figueres Olsen,PLN,1994–1998,Olsen
1995-12-31,1.8747860525956117,17.542177467833262,José María Figueres Olsen,PLN,1994–1998,Olsen
1996-03-31,1.045929209519647,11.64550572599059,José María Figueres Olsen,PLN,1994–1998,Olsen
1996-06-30,1.0049859883501933,5.609145289110784,José María Figueres Olsen,PLN,1994–1998,Olsen
1996-09-30,1.7743811709063806,1.0557387854087663,José María Figueres Olsen,PLN,1994–1998,Olsen
1996-12-31,2.5620868017537823,21.158665370416905,José María Figueres Olsen,PLN,1994–1998,Olsen
1997-03-31,3.443834695343373,25.435161237007975,José María Figueres Olsen,PLN,1994–1998,Olsen
1997-06-30,4.535367472582319,30.909163764250593,José María Figueres Olsen,PLN,1994–1998,Olsen
1997-09-30,5.585093951072695,35.196140427978584,José María Figueres Olsen,PLN,1994–1998,Olsen
1997-12-31,6.7656683285041375,14.598080806313686,José María Figueres Olsen,PLN,1994–1998,Olsen
