fecha,Agro_TC,Servicios_TC,Industria_Ampliada_TC,President,Party,Term,Label
1992-03-31,5.235230924147305,5.076875845664741,11.91700012170731,Rafael Ángel Calderón Fournier,PUSC,1990–1994,Calderón
1992-06-30,8.910869732848358,6.130376007347471,12.671322960320474,Rafael Ángel Calderón Fournier,PUSC,1990–1994,Calderón
1992-09-30,7.229254308278277,7.044709016371065,12.30961752860904,Rafael Ángel Calderón Fournier,PUSC,1990–1994,Calderón
1992-12-31,2.318409334451177,7.223023778546378,8.7399006705704,Rafael Ángel Calderón Fournier,PUSC,1990–1994,Calderón
1993-03-31,1.8301183652496888,6.572550503286312,7.151810813798454,Rafael Ángel Calderón Fournier,PUSC,1990–1994,Calderón
1993-06-30,1.1813669879905397,6.023348523127736,6.690536161144545,Rafael Ángel Calderón Fournier,PUSC,1990–1994,Calderón
1993-09-30,3.1165374978545435,5.619075040302968,5.194085792634251,Rafael Ángel Calderón Fournier,PUSC,1990–1994,Calderón
1993-12-31,7.42437219752341,5.156268770988848,4.537796621812551,Rafael Ángel Calderón Fournier,PUSC,1990–1994,Calderón
1994-03-31,7.5437576401992334,4.88410739146623,4.123975471944008,Rafael Ángel Calderón Fournier,PUSC,1990–1994,Calderón
1994-06-30,7.213977411081318,4.509886302523469,4.386070233358086,José María Figueres Olsen,PLN,1994–1998,Olsen
1994-09-30,7.19077602631466,3.805834722427748,4.391245375686359,José María Figueres Olsen,PLN,1994–1998,Olsen
1994-12-31,7.401291231374296,3.3057888714814077,4.963946405505104,José María Figueres Olsen,PLN,1994–1998,Olsen
1995-03-31,9.41122835510344,3.002065146561561,5.7384217124871295,José María Figueres Olsen,PLN,1994–1998,Olsen
1995-06-30,9.073888277557884,2.5480283039766904,3.2717510822296125,José María Figueres Olsen,PLN,1994–1998,Olsen
1995-09-30,6.742859698500658,2.1828340006880165,1.4209399793247757,José María Figueres Olsen,PLN,1994–1998,Olsen
1995-12-31,4.830269625802552,1.8351845192711824,0.43605913279940456,José María Figueres Olsen,PLN,1994–1998,Olsen
1996-03-31,1.3386217858394112,1.4209202375235597,-2.7215160524999615,José María Figueres Olsen,PLN,1994–1998,Olsen
1996-06-30,1.4643035930523407,1.3217919319411964,-3.9293990833129455,José María Figueres Olsen,PLN,1994–1998,Olsen
1996-09-30,4.3602560793166045,1.6650568793026732,-2.4172597372559057,José María Figueres Olsen,PLN,1994–1998,Olsen
1996-12-31,4.191499033592638,2.1843452425799548,-0.565207215092689,José María Figueres Olsen,PLN,1994–1998,Olsen
1997-03-31,5.550402148939204,2.8069707923138454,2.826208238653183,José María Figueres Olsen,PLN,1994–1998,Olsen
1997-06-30,7.055261528573209,3.578823020329347,6.833691507485207,José María Figueres Olsen,PLN,1994–1998,Olsen
1997-09-30,4.515976366248631,4.296706181328158,8.977413343800645,José María Figueres Olsen,PLN,1994–1998,Olsen
1997-12-31,5.4322541286912385,4.939288140824272,10.982079880041473,José María Figueres Olsen,PLN,1994–1998,Olsen
1998-03-31,7.888470545284765,5.362539820809298,11.646803451514053,José María Figueres Olsen,PLN,1994–1998,Olsen
1998-06-30,6.831980163939688,5.529044660355598,8.531332672782344,Miguel Ángel Rodríguez Echeverría,PUSC,1998–2002,Rodríguez
