fecha,PIB_Gasto_Consumo_Final_Hogares_TC,PIB_Gasto_Consumo_Final_Gobierno_General_TC,PIB_Formacion_Bruta_Capital_Fijo_TC,PIB_Exportaciones_Bienes_Servicios_TC,PIB_Importaciones_Bienes_Servicios_TC,President,Party,Term,Label
1992-03-31,8.054789687929942,2.4281499520458327,15.296726335973588,19.53193755664424,21.590405588498296,Rafael Ángel Calderón Fournier,PUSC,1990–1994,Calderón
1992-06-30,8.7264209542119,2.8876126306266903,27.173040629908485,17.78764174194578,21.9433697402742,Rafael Ángel Calderón Fournier,PUSC,1990–1994,Calderón
1992-09-30,9.884679223157477,3.544187804113874,36.8197142342509,14.913104659183961,24.63619275190265,Rafael Ángel Calderón Fournier,PUSC,1990–1994,Calderón
1992-12-31,10.499948109647006,4.317758023850371,37.06166637839623,11.379105685775205,26.01313528779294,Rafael Ángel Calderón Fournier,PUSC,1990–1994,Calderón
1993-03-31,10.078738267789355,5.040763773543477,31.54707411260318,8.579417554482372,23.692746073778203,Rafael Ángel Calderón Fournier,PUSC,1990–1994,Calderón
1993-06-30,10.00555006175059,5.541962619344498,20.071641805242635,7.292704105133674,17.104106682961895,Rafael Ángel Calderón Fournier,PUSC,1990–1994,Calderón
1993-09-30,9.842528079907709,5.56830428362427,8.079987878546714,7.816436440563024,10.012727269943467,Rafael Ángel Calderón Fournier,PUSC,1990–1994,Calderón
1993-12-31,8.828747627314204,5.022068476818919,0.04319930642096015,8.103520505593064,4.890767291663245,Rafael Ángel Calderón Fournier,PUSC,1990–1994,Calderón
1994-03-31,7.716603181061754,3.9597541655952195,-2.087176020599124,6.776068452361539,2.739813752708886,Rafael Ángel Calderón Fournier,PUSC,1990–1994,Calderón
1994-06-30,6.252899558205693,2.610205742192373,2.4044726664572025,6.021512898684023,4.695210395806959,José María Figueres Olsen,PLN,1994–1998,Olsen
1994-09-30,4.330766258822161,1.4060324593204943,7.657000089371957,5.801110548743571,6.961228399476727,José María Figueres Olsen,PLN,1994–1998,Olsen
1994-12-31,3.210517343333885,0.47960298201010776,12.119350948961394,6.297637117163668,7.550026073087235,José María Figueres Olsen,PLN,1994–1998,Olsen
1995-03-31,2.818497619955118,-0.14251093445799556,11.930069037169622,8.5269382736612,5.959944993875532,José María Figueres Olsen,PLN,1994–1998,Olsen
1995-06-30,2.2182728835937304,-0.4235590231373765,5.616995855017515,10.278429425216817,2.6745537748041226,José María Figueres Olsen,PLN,1994–1998,Olsen
1995-09-30,1.6957760945129463,-0.5187092331616738,1.512297734684842,10.125854430354696,1.6344804164587279,José María Figueres Olsen,PLN,1994–1998,Olsen
1995-12-31,1.349853280524771,-0.45071292795291207,-1.3603489000359459,8.857249878542373,1.5957773595603353,José María Figueres Olsen,PLN,1994–1998,Olsen
